,type,sms,processedSMS,filteredSMS
0,0,&lt;#&gt;  am I think? Should say on syllabus,lt gt think say syllabu,"['lt', 'gt', 'think', 'say', 'syllabu']"
1,0,"Me, i dont know again oh",dont know oh,"['dont', 'know', 'oh']"
2,0,Rats. Hey did u ever vote for the next themes?,rat hey u ever vote next theme,"['rat', 'hey', 'u', 'ever', 'vote', 'next', 'theme']"
3,0,I sent lanre fakeye's Eckankar details to the mail box,sent lanr fakey eckankar detail mail box,"['sent', 'lanr', 'fakey', 'eckankar', 'detail', 'mail', 'box']"
4,0,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",boy love gal propsd bt didnt mind gv lv lttr bt frnd threw thm boy decid 2 aproach gal dt time truck speed toward gal wn 2 hit girl boy ran like hell n save ask hw cn u run fast boy repli boost secret energi n instantli girl shout energi n thi live happili 2gthr drink boost evrydi moral stori hv free msg gud ni8,"['boy', 'love', 'gal', 'propsd', 'bt', 'didnt', 'mind', 'gv', 'lv', 'lttr', 'bt', 'frnd', 'threw', 'thm', 'boy', 'decid', '2', 'aproach', 'gal', 'dt', 'time', 'truck', 'speed', 'toward', 'gal', 'wn', '2', 'hit', 'girl', 'boy', 'ran', 'like', 'hell', 'n', 'save', 'ask', 'hw', 'cn', 'u', 'run', 'fast', 'boy', 'repli', 'boost', 'secret', 'energi', 'n', 'instantli', 'girl', 'shout', 'energi', 'n', 'thi', 'live', 'happili', '2gthr', 'drink', 'boost', 'evrydi', 'moral', 'stori', 'hv', 'free', 'msg', 'gud', 'ni8']"
5,0,Babe ? I lost you ... :-(,babe lost,"['babe', 'lost']"
6,0,Haha i think i did too,haha think,"['haha', 'think']"
7,0,Sac needs to carry on:),sac need carri,"['sac', 'need', 'carri']"
8,0,Howz pain?hope u r fine..,howz pain hope u r fine,"['howz', 'pain', 'hope', 'u', 'r', 'fine']"
9,0,"Not much, just some textin'. How bout you?",much textin bout,"['much', 'textin', 'bout']"
10,0,"Sir, Waiting for your mail.",sir wait mail,"['sir', 'wait', 'mail']"
11,0,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,oh oh den muz chang plan liao go back yan jiu,"['oh', 'oh', 'den', 'muz', 'chang', 'plan', 'liao', 'go', 'back', 'yan', 'jiu']"
